date,igr,precipitation_weekly_sum,rain_days,sequential_rain,temp_max_weekly_mean,temp_mean_weekly_mean,temp_min_weekly_mean,humidity_weekly_mean,lag_1_precipitation,lag_2_precipitation,lag_3_precipitation,lag_4_precipitation,lag_1_temp_mean,lag_2_temp_mean,lag_3_temp_mean,lag_4_temp_mean,lag_1_humidity,lag_2_humidity,lag_3_humidity,lag_4_humidity,change_temperature,percentile_temp_mean_weekly_mean,percentile_lag_temp_mean_weekly_mean,change_temperature_above75,change_precipitation,percentile_precipitation_weekly_sum,percentile_lag_precipitation_weekly_sum,change_precipitation_above75,change_humidity,percentile_humidity_weekly_mean,percentile_lag_humidity_weekly_mean,change_humidity_above75,interaction_temperature_precipitation,interaction_temperature_humidity,interaction_precipitation_humidity,interaction_temperature_precipitation_humidity,interaction_temperature_precipitation_above75,interaction_temperature_humidity_above75,interaction_precipitation_humidity_above75,interaction_temperature_precipitation_humidity_above75,extreme_weather_temperature,extreme_weather_precipitation,extreme_weather_humidity,season_summer,season_autumn,season_winter,season_spring,temperature_category_quantile_01,temperature_category_quantile_02,temperature_category_quantile_03,temperature_category_quantile_04,precipitation_occurrence
2023-51,Manaus,54.6,5.0,3.0,31.042857142857144,27.52857142857143,25.014285714285712,83.87142857142858,65.2,11.4,75.2,0.6,27.857142857142858,28.142857142857142,27.77142857142857,31.97142857142857,79.25714285714285,76.64285714285714,78.8,59.15714285714286,0,0.44976076555023925,0.5023923444976076,0,0,0.6507177033492823,0.7177033492822966,0,0,0.8899521531100478,0.6028708133971292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2023-52,Manaus,86.39999999999999,7.0,10.0,32.471428571428575,27.8,24.942857142857143,82.42857142857143,54.6,65.2,11.4,75.2,27.52857142857143,27.857142857142858,28.142857142857142,27.77142857142857,83.87142857142858,79.25714285714285,76.64285714285714,78.8,0,0.48325358851674644,0.44976076555023925,0,1,0.8229665071770335,0.6507177033492823,1,0,0.7990430622009569,0.8899521531100478,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2023-53,Manaus,101.6,5.0,12.0,30.985714285714288,27.016666666666666,23.77142857142857,85.39999999999999,86.39999999999999,54.6,65.2,11.4,27.8,27.52857142857143,27.857142857142858,28.142857142857142,82.42857142857143,83.87142857142858,79.25714285714285,76.64285714285714,0,0.32057416267942584,0.48325358851674644,0,0,0.8755980861244019,0.8229665071770335,0,0,0.9617224880382775,0.7990430622009569,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2024-01,Manaus,4.0,2.0,2.0,32.785714285714285,28.15714285714285,25.24285714285714,77.97142857142856,101.6,86.39999999999999,54.6,65.2,27.016666666666666,27.8,27.52857142857143,27.857142857142858,85.39999999999999,82.42857142857143,83.87142857142858,79.25714285714285,0,0.6028708133971292,0.32057416267942584,0,0,0.18660287081339713,0.8755980861244019,0,0,0.5430622009569378,0.9617224880382775,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2024-02,Manaus,94.8,6.0,6.0,31.27142857142857,27.285714285714285,24.75714285714286,81.3142857142857,4.0,101.6,86.39999999999999,54.6,28.15714285714285,27.016666666666666,27.8,27.52857142857143,77.97142857142856,85.39999999999999,82.42857142857143,83.87142857142858,0,0.38995215311004783,0.6028708133971292,0,1,0.84688995215311,0.18660287081339713,1,0,0.7129186602870813,0.5430622009569378,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2024-03,Manaus,11.8,6.0,12.0,33.7,28.7,25.4,75.24285714285715,94.8,4.0,101.6,86.39999999999999,27.285714285714285,28.15714285714285,27.016666666666666,27.8,81.3142857142857,77.97142857142856,85.39999999999999,82.42857142857143,0,0.6913875598086124,0.38995215311004783,0,0,0.291866028708134,0.84688995215311,0,0,0.44019138755980863,0.7129186602870813,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2024-04,Manaus,25.0,4.0,3.0,32.77142857142857,28.02857142857143,25.357142857142858,78.5,11.8,94.8,4.0,101.6,28.7,27.285714285714285,28.15714285714285,27.016666666666666,75.24285714285715,81.3142857142857,77.97142857142856,85.39999999999999,0,0.5550239234449761,0.6913875598086124,0,0,0.430622009569378,0.291866028708134,0,0,0.569377990430622,0.44019138755980863,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2024-05,Manaus,50.4,5.0,2.0,33.371428571428574,28.428571428571427,25.485714285714288,78.77142857142857,25.0,11.8,94.8,4.0,28.02857142857143,28.7,27.285714285714285,28.15714285714285,78.5,75.24285714285715,81.3142857142857,77.97142857142856,0,0.6698564593301436,0.5550239234449761,0,0,0.6220095693779905,0.430622009569378,0,0,0.583732057416268,0.569377990430622,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2024-06,Manaus,66.4,3.0,2.0,33.31428571428571,28.957142857142856,25.228571428571428,76.5,50.4,25.0,11.8,94.8,28.428571428571427,28.02857142857143,28.7,27.285714285714285,78.77142857142857,78.5,75.24285714285715,81.3142857142857,0,0.7464114832535885,0.6698564593301436,0,0,0.722488038277512,0.6220095693779905,0,0,0.48325358851674644,0.583732057416268,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2024-07,Manaus,116.8,4.0,5.0,32.2,27.557142857142857,24.642857142857142,82.12857142857142,66.4,50.4,25.0,11.8,28.957142857142856,28.428571428571427,28.02857142857143,28.7,76.5,78.77142857142857,78.5,75.24285714285715,0,0.45454545454545453,0.7464114832535885,0,0,0.937799043062201,0.722488038277512,1,1,0.7607655502392344,0.48325358851674644,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
2024-08,Manaus,23.8,3.0,3.0,34.642857142857146,29.914285714285715,26.17142857142857,65.67142857142856,116.8,66.4,50.4,25.0,27.557142857142857,28.957142857142856,28.428571428571427,28.02857142857143,82.12857142857142,76.5,78.77142857142857,78.5,0,0.8660287081339713,0.45454545454545453,1,0,0.4138755980861244,0.937799043062201,0,0,0.15311004784688995,0.7607655502392344,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2024-09,Manaus,111.0,5.0,4.0,32.2,27.285714285714285,24.585714285714285,82.14285714285714,23.8,116.8,66.4,50.4,29.914285714285715,27.557142857142857,28.957142857142856,28.428571428571427,65.67142857142856,82.12857142857142,76.5,78.77142857142857,0,0.38995215311004783,0.8660287081339713,0,0,0.9138755980861244,0.4138755980861244,1,1,0.7655502392344498,0.15311004784688995,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
2024-10,Manaus,30.4,4.0,3.0,33.357142857142854,28.885714285714283,25.685714285714287,77.01428571428572,111.0,23.8,116.8,66.4,27.285714285714285,29.914285714285715,27.557142857142857,28.957142857142856,82.14285714285714,65.67142857142856,82.12857142857142,76.5,0,0.7248803827751196,0.38995215311004783,0,0,0.47607655502392343,0.9138755980861244,0,0,0.5167464114832536,0.7655502392344498,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2024-11,Manaus,105.0,6.0,5.0,31.957142857142856,27.942857142857143,25.4,82.54285714285713,30.4,111.0,23.8,116.8,28.885714285714283,27.285714285714285,29.914285714285715,27.557142857142857,77.01428571428572,82.14285714285714,65.67142857142856,82.12857142857142,0,0.5334928229665071,0.7248803827751196,0,0,0.8947368421052632,0.47607655502392343,1,1,0.80622009569378,0.5167464114832536,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
2024-12,Manaus,73.2,7.0,11.0,30.9,26.785714285714285,24.6,87.12857142857142,105.0,30.4,111.0,23.8,27.942857142857143,28.885714285714283,27.285714285714285,29.914285714285715,82.54285714285713,77.01428571428572,82.14285714285714,65.67142857142856,0,0.27751196172248804,0.5334928229665071,0,0,0.7583732057416268,0.8947368421052632,0,0,0.9808612440191388,0.80622009569378,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
2024-13,Manaus,145.2,3.0,13.0,32.04285714285714,27.514285714285712,24.4,81.47142857142856,73.2,105.0,30.4,111.0,26.785714285714285,27.942857142857143,28.885714285714283,27.285714285714285,87.12857142857142,82.54285714285713,77.01428571428572,82.14285714285714,0,0.4449760765550239,0.27751196172248804,0,0,0.9760765550239234,0.7583732057416268,0,0,0.7320574162679426,0.9808612440191388,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
2024-14,Manaus,35.4,6.0,4.0,32.25714285714286,27.82857142857143,24.9,82.07142857142857,145.2,73.2,105.0,30.4,27.514285714285712,26.785714285714285,27.942857142857143,28.885714285714283,81.47142857142856,87.12857142857142,82.54285714285713,77.01428571428572,0,0.49760765550239233,0.4449760765550239,0,0,0.5263157894736842,0.9760765550239234,0,1,0.7559808612440191,0.7320574162679426,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2024-15,Manaus,116.2,5.0,7.0,32.57142857142857,28.042857142857144,25.185714285714287,81.28571428571429,35.4,145.2,73.2,105.0,27.82857142857143,27.514285714285712,26.785714285714285,27.942857142857143,82.07142857142857,81.47142857142856,87.12857142857142,82.54285714285713,0,0.5598086124401914,0.49760765550239233,0,0,0.9282296650717703,0.5263157894736842,1,0,0.7081339712918661,0.7559808612440191,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2024-16,Manaus,38.8,3.0,1.0,31.77142857142857,27.457142857142856,25.342857142857145,84.94285714285715,116.2,35.4,145.2,73.2,28.042857142857144,27.82857142857143,27.514285714285712,26.785714285714285,81.28571428571429,82.07142857142857,81.47142857142856,87.12857142857142,0,0.42822966507177035,0.5598086124401914,0,0,0.5502392344497608,0.9282296650717703,0,0,0.9330143540669856,0.7081339712918661,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2024-17,Manaus,23.8,3.0,2.0,32.114285714285714,27.62857142857143,24.74285714285714,80.89999999999999,38.8,116.2,35.4,145.2,27.457142857142856,28.042857142857144,27.82857142857143,27.514285714285712,84.94285714285715,81.28571428571429,82.07142857142857,81.47142857142856,0,0.45933014354066987,0.42822966507177035,0,0,0.4138755980861244,0.5502392344497608,0,0,0.6650717703349283,0.9330143540669856,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2024-18,Manaus,5.0,2.0,1.0,32.84285714285714,28.842857142857145,25.75714285714286,78.18571428571428,23.8,38.8,116.2,35.4,27.62857142857143,27.457142857142856,28.042857142857144,27.82857142857143,80.89999999999999,84.94285714285715,81.28571428571429,82.07142857142857,0,0.7177033492822966,0.45933014354066987,0,0,0.19617224880382775,0.4138755980861244,0,0,0.5598086124401914,0.6650717703349283,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2024-19,Manaus,143.0,6.0,3.0,31.97142857142857,27.87142857142857,24.857142857142858,83.82857142857142,5.0,23.8,38.8,116.2,28.842857142857145,27.62857142857143,27.457142857142856,28.042857142857144,78.18571428571428,80.89999999999999,84.94285714285715,81.28571428571429,0,0.5119617224880383,0.7177033492822966,0,0,0.9712918660287081,0.19617224880382775,1,0,0.8803827751196173,0.5598086124401914,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
2024-20,Manaus,106.0,6.0,5.0,31.085714285714285,27.285714285714285,24.857142857142858,85.35714285714286,143.0,5.0,23.8,38.8,27.87142857142857,28.842857142857145,27.62857142857143,27.457142857142856,83.82857142857142,78.18571428571428,80.89999999999999,84.94285714285715,0,0.38995215311004783,0.5119617224880383,0,0,0.8995215311004785,0.9712918660287081,0,0,0.9569377990430622,0.8803827751196173,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
2024-21,Manaus,23.6,4.0,6.0,32.22857142857143,27.87142857142857,24.814285714285717,82.21428571428571,106.0,143.0,5.0,23.8,27.285714285714285,27.87142857142857,28.842857142857145,27.62857142857143,85.35714285714286,83.82857142857142,78.18571428571428,80.89999999999999,0,0.5119617224880383,0.38995215311004783,0,0,0.40669856459330145,0.8995215311004785,0,0,0.7703349282296651,0.9569377990430622,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2024-22,Manaus,138.8,7.0,8.0,29.057142857142853,25.87142857142857,23.957142857142856,87.81428571428572,23.6,106.0,143.0,5.0,27.87142857142857,27.285714285714285,27.87142857142857,28.842857142857145,82.21428571428571,85.35714285714286,83.82857142857142,78.18571428571428,0,0.07894736842105263,0.5119617224880383,0,0,0.9665071770334929,0.40669856459330145,1,0,0.9904306220095693,0.7703349282296651,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1
