year;access_date_week;IGR;access_count;year_access;count_physician;rate_access_per_physician
2021;2021-02;Frederico Westphalen;0;2021;238;0.0
2021;2021-02;Goiana ¿ Timbaúba;0;2021;730;0.0
2021;2021-02;Guarabira;0;2021;22;0.0
2021;2021-02;Guarapuava;0;2021;11;0.0
2021;2021-02;Gurupi;0;2021;32;0.0
2021;2021-02;Ijuí;0;2021;472;0.0
2021;2021-02;Imperatriz;0;2021;10;0.0
2021;2021-02;Itacoatiara;0;2021;14;0.0
2021;2021-02;Jaú;0;2021;172;0.0
2021;2021-02;Ji-Paraná;0;2021;16;0.0
2021;2021-02;Joaçaba - Herval d'Oeste;0;2021;659;0.0
2021;2021-02;Joinville;0;2021;33;0.0
2021;2021-02;Juiz de Fora;1;2021;2594;3.8550501156515034
2021;2021-02;Linhares;0;2021;733;0.0
2021;2021-02;Maceió;0;2021;46;0.0
2021;2021-02;Manaus;14;2021;3961;35.344609946983084
2021;2021-02;Mantena;0;2021;118;0.0
2021;2021-02;Maringá;1;2021;2708;3.6927621861152145
2021;2021-02;Marília;0;2021;1054;0.0
2021;2021-02;Monteiro;0;2021;5;0.0
2021;2021-02;Mossoró;0;2021;35;0.0
2021;2021-02;Natal;0;2021;34;0.0
2021;2021-02;Nazaré ¿ Maragogipe;0;2021;23;0.0
2021;2021-02;Nova Prata - Guaporé;0;2021;387;0.0
2021;2021-02;Oliveira;0;2021;431;0.0
2021;2021-02;Passo Fundo;0;2021;1722;0.0
2021;2021-02;Passos;0;2021;455;0.0
2021;2021-02;Patos;0;2021;27;0.0
2021;2021-02;Pinheiro;0;2021;189;0.0
2021;2021-02;Pirapora;0;2021;153;0.0
2021;2021-02;Piumhi;0;2021;36;0.0
2021;2021-02;Ponte Nova;0;2021;12;0.0
2021;2021-02;Porto Alegre;3;2021;15348;1.9546520719311962
2021;2021-02;Princesa Isabel;0;2021;12;0.0
2021;2021-02;Quirinópolis;0;2021;65;0.0
2021;2021-02;Resende;0;2021;509;0.0
2021;2021-02;Ribeirão Preto;2;2021;6135;3.2599837000814995
2021;2021-02;Rio Claro;0;2021;189;0.0
2021;2021-02;Rio de Janeiro;14;2021;40419;3.463717558573938
2021;2021-02;Russas - Limoeiro do Norte;0;2021;1039;0.0
2021;2021-02;Salvador;9;2021;12015;7.490636704119851
2021;2021-02;Santa Cruz do Sul;0;2021;1042;0.0
2021;2021-02;Santa Inês;0;2021;44;0.0
2021;2021-02;Santa Maria;0;2021;1110;0.0
2021;2021-02;Santa Maria da Vitoria;0;2021;13;0.0
2021;2021-02;Santana do Livramento;0;2021;89;0.0
2021;2021-02;Santos;1;2021;1071;9.337068160597573
2021;2021-02;Serra Talhada;0;2021;94;0.0
2021;2021-02;Soledade;0;2021;129;0.0
2021;2021-02;São Miguel do Oeste;0;2021;262;0.0
2021;2021-02;São Paulo;60;2021;73318;8.18352928339562
2021;2021-02;Teófilo Otoni;0;2021;555;0.0
2021;2021-02;Toledo;0;2021;42;0.0
2021;2021-02;Uberaba;0;2021;1886;0.0
2021;2021-02;Uberlândia;0;2021;3083;0.0
2021;2021-02;Uruguaiana;0;2021;222;0.0
2021;2021-02;Valença;0;2021;19;0.0
2021;2021-02;Vitória;0;2021;54;0.0
2021;2021-02;Vitória da Conquista;0;2021;14;0.0
2021;2021-02;Volta Redonda - Barra Mansa;0;2021;2694;0.0
2021;2021-03;Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá;0;2021;431;0.0
2021;2021-03;Alegre;0;2021;309;0.0
2021;2021-03;Araranguá;0;2021;502;0.0
2021;2021-03;Atalaia;0;2021;29;0.0
2021;2021-03;Bagé;0;2021;158;0.0
2021;2021-03;Belo Horizonte;20;2021;32062;6.237914041544507
2021;2021-03;Belém;0;2021;7079;0.0
2021;2021-03;Bento Gonçalves;0;2021;545;0.0
2021;2021-03;Boa Vista;0;2021;89;0.0
2021;2021-03;Bragança Paulista;0;2021;24;0.0
2021;2021-03;Brumado;0;2021;246;0.0
2021;2021-03;Camacan;0;2021;2;0.0
2021;2021-03;Campina Grande;1;2021;2373;4.214075010535188
2021;2021-03;Campo Belo;0;2021;35;0.0
