access_state,access_city,year_access,count_physician
AM,PRESIDENTE FIGUEIREDO,2022,53
RS,SAO PEDRO DO SUL,2022,28
PR,MARINGA,2024,2289
RS,VERANOPOLIS,2022,135
MG,MATEUS LEME,2024,135
ES,VENDA NOVA DO IMIGRANTE,2022,83
RS,IBIRUBA,2022,84
MG,CARATINGA,2024,181
RJ,PARACAMBI,2023,56
RJ,SAO JOAO DE MERITI,2024,410
RS,SERTAO,2021,13
SP,SANTANA DE PARNAIBA,2024,576
ES,IRUPI,2021,13
PB,INGA,2023,7
SP,BELO HORIZONTE,2023,43
SP,ECHAPORA,2021,17
SC,CAPINZAL,2021,387
MG,TEOFILO OTONI,2022,182
BA,POJUCA,2024,26
BA,TERRA NOVA,2022,17
ES,CONCEICAO DO CASTELO,2022,12
PR,MANDIRITUBA,2023,25
RS,MANOEL VIANA,2021,4
MA,ALTO ALEGRE,2021,8
RJ,PARAISO,2024,2
PA,SANTO ANTONIO DO TAUA,2024,2
ES,CONCEICAO DO CASTELO,2023,11
RJ,MARICA,2024,287
PR,TURVO,2021,11
SP,GALIA,2023,30
RS,JAGUARI,2023,18
RJ,MENDES,2024,90
SP,SALESOPOLIS,2023,37
PB,RIACHO DE SANTO ANTONIO,2022,25
PR,CERRO AZUL,2024,23
SC,JACINTO MACHADO,2024,29
RJ,PARACAMBI,2022,49
PR,OURIZONA,2023,18
ES,SANTA MARIA,2021,8
PB,CATURITE,2021,2
ES,IRUPI,2023,28
SP,PONTAL,2022,60
SP,JANDIRA,2023,238
RS,PALMARES DO SUL,2023,13
PB,CARAUBAS,2023,9
GO,IPAMERI,2021,44
MG,BONFIM,2022,8
RJ,BARRA MANSA,2021,846
PR,FAZENDA RIO GRANDE,2022,462
BA,CATU,2022,49
SP,PONTAL,2024,43
RS,PINHEIRO MACHADO,2022,64
BA,SANTO AMARO,2022,99
RJ,ITALVA,2024,38
RS,PANTANO GRANDE,2023,11
MG,CARMOPOLIS DE MINAS,2024,64
SP,ALVINLANDIA,2022,14
SP,ARUJA,2022,172
MG,PIRACEMA,2022,35
RS,CANDELARIA,2023,63
PR,TURVO,2022,14
SP,SANTA ISABEL,2022,70
MG,RIO PRETO,2021,11
RS,SANTA CRUZ DO SUL,2023,429
MA,SANTA LUZIA,2024,75
SP,SANTO ANDRE,2023,2904
PA,ANANINDEUA,2021,1768
MG,SAO JOAO BATISTA DO GLORIA,2021,16
PR,BOCAIUVA DO SUL,2022,41
PR,SANTA HELENA,2024,47
RS,BAGE,2022,77
BA,SANTO AMARO,2021,79
BA,SIMOES FILHO,2021,219
RS,SAO FRANCISCO DE PAULA,2022,46
CE,PALHANO,2024,12
MG,VARGEM BONITA,2022,12
MG,UBERLANDIA,2022,2414
MG,SAO JOSE DO DIVINO,2024,9
PR,SANTA FE,2022,74
MG,MALACACHETA,2024,68
MG,MALACACHETA,2023,28
MG,PESCADOR,2023,16
MG,SAO FELIX DE MINAS,2022,15
SC,MARACAJA,2022,9
CE,JAGUARIBARA,2024,10
RS,AGUDO,2021,41
PE,FLORESTA,2022,95
RS,CRUZ ALTA,2024,190
SP,SUZANO,2021,975
SP,BARUERI,2023,1474
MG,LIMA DUARTE,2023,110
PB,SAO DOMINGOS DO CARIRI,2022,9
PR,SARANDI,2022,359
SP,DUMONT,2023,30
PR,MANDAGUARI,2021,84
RJ,BARRA DO PIRAI,2021,309
RS,IRAI,2022,10
MG,ESMERALDAS,2024,75
SP,JUQUITIBA,2021,29
AM,NOVA OLINDA DO NORTE,2024,24
RS,MOSTARDAS,2023,27
MG,CANDEIAS,2022,18
RJ,RIO DE JANEIRO,2024,30632
RJ,RESENDE,2023,221
SP,CRAVINHOS,2023,125
RS,ERVAL SECO,2023,14
PB,JUAZEIRINHO,2023,105
PR,UNIFLOR,2023,14
PB,SAO VICENTE DO SERIDO,2024,28
MG,RIO NOVO,2024,11
MG,SAO JOSE DA BARRA,2024,43
RS,SAO FRANCISCO DE ASSIS,2021,18
RJ,ENGENHEIRO PAULO DE FRONTIN,2022,29
PA,BELEM,2023,4447
MG,BRUMADINHO,2023,57
GO,SAO SIMAO,2021,65
MG,SANTA RITA DE JACUTINGA,2021,10
DF,SANTA MARIA,2024,17
MG,CHACARA,2022,9
MG,LIBERDADE,2021,8
MG,CHIADOR,2021,5
PR,SANTA HELENA,2022,66
BA,SALVADOR,2024,10801
RS,PASSO FUNDO,2022,706
SP,MOGI DAS CRUZES,2024,1237
RJ,SAO GONCALO,2021,2136
RS,BARRA DO RIBEIRO,2024,19
RS,SANTA MARIA,2021,771
SC,CATANDUVAS,2022,17
PR,CERRO AZUL,2022,19
RJ,PORTO REAL,2021,51
RS,ANDRE DA ROCHA,2024,10
MG,PRATAPOLIS,2022,19
MG,VERMELHO NOVO,2023,4
RS,PORTO ALEGRE,2023,8855
RS,CANELA,2021,238
RS,GRAVATAI,2021,799
