date_week,igr,access_count,count_physician,rate_access_per_physician,count_hospitalization,precipitation_weekly_sum,rain_days,sequential_rain,temp_max_weekly_mean,temp_mean_weekly_mean,temp_min_weekly_mean,humidity_weekly_mean,lag_1_precipitation,lag_2_precipitation,lag_3_precipitation,lag_4_precipitation,lag_1_temp_mean,lag_2_temp_mean,lag_3_temp_mean,lag_4_temp_mean,lag_1_humidity,lag_2_humidity,lag_3_humidity,lag_4_humidity,change_temperature,percentile_temp_mean_weekly_mean,percentile_lag_temp_mean_weekly_mean,change_temperature_above75,change_precipitation,percentile_precipitation_weekly_sum,percentile_lag_precipitation_weekly_sum,change_precipitation_above75,change_humidity,percentile_humidity_weekly_mean,percentile_lag_humidity_weekly_mean,change_humidity_above75,interaction_temperature_precipitation,interaction_temperature_humidity,interaction_precipitation_humidity,interaction_temperature_precipitation_humidity,interaction_temperature_precipitation_above75,interaction_temperature_humidity_above75,interaction_precipitation_humidity_above75,interaction_temperature_precipitation_humidity_above75,extreme_weather_temperature,extreme_weather_precipitation,extreme_weather_humidity,season_summer,season_autumn,season_winter,season_spring,temperature_category_quantile_01,temperature_category_quantile_02,temperature_category_quantile_03,temperature_category_quantile_04,precipitation_occurrence
2022-38,Salvador,26,11937,21.78101700594789,2,3.8,2.0,2.0,28.228571428571428,24.285714285714285,22.042857142857144,79.0,12.8,33.6,49.4,22.0,23.82857142857143,23.185714285714287,23.385714285714283,23.81428571428572,75.92857142857143,79.39999999999999,80.04285714285713,75.67142857142858,0,0.1483253588516746,0.0717703349282296,0,0,0.1937799043062201,0.3708133971291866,0,0,0.492822966507177,0.2535885167464115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2022-39,Salvador,22,11937,18.43009131272514,2,22.6,2.0,2.0,28.485714285714288,24.81428571428572,22.4,81.54285714285713,3.8,12.8,33.6,49.4,24.285714285714285,23.82857142857143,23.185714285714287,23.385714285714283,79.0,75.92857142857143,79.39999999999999,80.04285714285713,0,0.2392344497607655,0.1483253588516746,0,0,0.492822966507177,0.1937799043062201,0,0,0.7081339712918661,0.492822966507177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2022-40,Salvador,22,11937,18.43009131272514,2,6.4,3.0,1.0,29.3,25.24285714285714,22.3,76.72857142857143,22.6,3.8,12.8,33.6,24.81428571428572,24.285714285714285,23.82857142857143,23.185714285714287,81.54285714285713,79.0,75.92857142857143,79.39999999999999,0,0.3205741626794258,0.2392344497607655,0,0,0.2272727272727272,0.492822966507177,0,0,0.3062200956937799,0.7081339712918661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2022-41,Salvador,27,11937,22.618748429253586,2,0.2,1.0,1.0,30.52857142857143,26.17142857142857,23.142857142857142,75.51428571428572,6.4,22.6,3.8,12.8,25.24285714285714,24.81428571428572,24.285714285714285,23.82857142857143,76.72857142857143,81.54285714285713,79.0,75.92857142857143,0,0.5334928229665071,0.3205741626794258,0,0,0.0741626794258373,0.2272727272727272,0,0,0.2057416267942583,0.3062200956937799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2022-42,Salvador,10,11937,8.377314233056882,3,32.599999999999994,6.0,5.0,29.74285714285714,25.728571428571428,22.957142857142856,75.18571428571428,0.2,6.4,22.6,3.8,26.17142857142857,25.24285714285714,24.81428571428572,24.285714285714285,75.51428571428572,76.72857142857143,81.54285714285713,79.0,0,0.4521531100478468,0.5334928229665071,0,0,0.6076555023923444,0.0741626794258373,0,0,0.1961722488038277,0.2057416267942583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2022-43,Salvador,14,11937,11.728239926279636,6,0.4,2.0,6.0,30.142857142857142,26.228571428571428,23.485714285714288,72.08571428571429,32.599999999999994,0.2,6.4,22.6,25.728571428571428,26.17142857142857,25.24285714285714,24.81428571428572,75.18571428571428,75.51428571428572,76.72857142857143,81.54285714285713,0,0.5574162679425837,0.4521531100478468,0,0,0.0885167464114832,0.6076555023923444,0,0,0.0526315789473684,0.1961722488038277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2022-44,Salvador,25,11937,20.943285582642204,2,44.6,5.0,5.0,29.12857142857143,25.285714285714285,23.1,82.35714285714286,0.4,32.599999999999994,0.2,6.4,26.228571428571428,25.728571428571428,26.17142857142857,25.24285714285714,72.08571428571429,75.18571428571428,75.51428571428572,76.72857142857143,0,0.3397129186602871,0.5574162679425837,0,0,0.7057416267942583,0.0885167464114832,0,1,0.7799043062200957,0.0526315789473684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2022-45,Salvador,35,11937,29.320599815699087,2,24.2,6.0,4.0,27.585714285714285,24.74285714285714,23.1,82.7,44.6,0.4,32.599999999999994,0.2,25.285714285714285,26.228571428571428,25.728571428571428,26.17142857142857,82.35714285714286,72.08571428571429,75.18571428571428,75.51428571428572,0,0.215311004784689,0.3397129186602871,0,0,0.5023923444976076,0.7057416267942583,0,0,0.8157894736842105,0.7799043062200957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2022-46,Salvador,21,11937,17.592359889419452,2,2.4,4.0,4.0,29.62857142857143,25.97142857142857,23.75714285714286,77.48571428571428,24.2,44.6,0.4,32.599999999999994,24.74285714285714,25.285714285714285,26.228571428571428,25.728571428571428,82.7,82.35714285714286,72.08571428571429,75.18571428571428,0,0.485645933014354,0.215311004784689,0,0,0.1626794258373205,0.5023923444976076,0,0,0.3803827751196172,0.8157894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2022-47,Salvador,16,11937,13.403702772891013,0,91.0,7.0,7.0,29.071428571428573,25.542857142857144,23.428571428571427,84.38571428571429,2.4,24.2,44.6,0.4,25.97142857142857,24.74285714285714,25.285714285714285,26.228571428571428,77.48571428571428,82.7,82.35714285714286,72.08571428571429,0,0.4114832535885167,0.485645933014354,0,0,0.8803827751196173,0.1626794258373205,1,0,0.9186602870813396,0.3803827751196172,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
